common/ichi.wav	イチ
common/itsu.wav	イツ
common/hito.wav	ひと
g1/e4b880_hitotsu.wav	ひと・つ
common/gyo.wav	ギョ
g2/e9ad9a_uo.wav	うお
common/sakana.wav	さかな
g2/e9ad9a_sengyo.wav	鮮魚（せんぎょ）	a fresh fish
g2/e9ad9a_shinkaigyo.wav	深海魚（しんかいぎょ）	a deep-sea fish, an abyssal fish
g2/e9ad9a_uoza.wav	魚座（うおざ）	the Fishes, Pisces
g2/e9ad9a_sakanaya.wav	魚屋（さかなや）	a fish store, a fish shop
g2/e9ad9a_sakananohire.wav	魚のヒレ（さかなのひれ）	a fin of a fish
g2/e9ad9a_zako.wav	雑魚（ざこ）	trifling, trivial, small fish
common/kyou.wav	キョウ
common/kei.wav	ケイ
common/joukyou.wav	上京（じょうきょう）	to come (go) up to Tokyo
g2/e4baac_keihanshin.wav	京阪神（けいはんしん）	Kyoto-Osaka-Kobe area
common/kyou.wav	キョウ
common/gou.wav	ゴウ
common/tsuyoi.wav	つよ・い
g2/e5bcb7_tsuyomaru.wav	つよ・まる
g2/e5bcb7_tsuyomeru.wav	つよ・める
g2/e5bcb7_shiiru.wav	し・いる
g2/e5bcb7_kyouteki.wav	強敵（きょうてき）	a powerful rival, a formidable enemy
common/kyoudai.wav	強大（きょうだい）	mighty, powerful, strong
g2/e5bcb7_goudatsu.wav	強奪（ごうだつ）	plunder, robbery, dispossession, hijack
common/tsuyoi.wav	強い（つよい）	strong, powerful, mighty
g2/e5bcb7_ikarigatsuyomaru.wav	怒りが強まる（いかりがつよまる）	Anger becomes strong.
g2/e5bcb7_gokiwotsuyomete.wav	語気を強めて（ごきをつよめて）	emphatically
g2/e5bcb7_shiirarete.wav	強いられて（しいられて）	under pressure,
g2/e5bcb7_kowamote.wav	強面（こわもて）	a frightening look,
common/kyou.wav	キョウ
g2/e69599_oshieru.wav	おし・える
g2/e69599_oshie.wav	おし・え
g2/e69599_osowaru.wav	おそ・わる
g2/e69599_kyoukai.wav	教会（きょうかい）	a church, a kirk
g2/e69599_kyouzai.wav	教材（きょうざい）	teaching materials
g2/e69599_kateikyoushi.wav	家庭教師（かていきょうし）	a private teacher, a tutor
g2/e69599_porutogarugowooshieru.wav	ポルトガル語を教える（ぽるとがるごをおしえる）	
g2/e69599_oshietekudasai.wav	教えてください（おしえてください）	Please tell me ~,
g2/e69599_oshiewomamoru.wav	教えを守る（おしえをまもる）	abide by ~'s precepts
g2/e69599_oshiego.wav	教え子（おしえご）	one's former pupil (student)
g2/e69599_pianowoosowaru.wav	ピアノを教わる（ぴあのをおそわる）	
common/kin.wav	キン
g2/e8bf91_chikai.wav	ちか・い
common/kinshi.wav	近視（きんし）	shortsightedness, nearsightedness,
g2/e8bf91_chikaiuchini.wav	近いうちに（ちかいうちに）	in the near future,
g2/e8bf91_konochikakunihaarimasuka.wav	この近くに～はありますか？（このちかくにはありますか）	
g2/e8bf91_kareranokenkaihachikai.wav	彼らの見解は近い（かれらのけんかいはちかい）	
g2/e8bf91_chikamichi.wav	近道（ちかみち）	a shorter way, a shortcut
common/kei.wav	ケイ
common/kyou.wav	*キョウ
g2/e58584_ani.wav	あに
g2/e58584_niisan.wav	*にい・さん
g2/e58584_gikei.wav	義兄（ぎけい）	a brother-in-law
g2/e58584_kyoudai.wav	兄弟（きょうだい）	brothers, siblings
g2/e58584_ani.wav	兄（あに）	my elder brother, a big brother
g2/e58584_aniki.wav	兄貴（あにき）	one's elder brother, Mister, Boss
g2/e58584_oniisan.wav	お兄さん（おにいさん）	one's elder brother,
common/kei.wav	ケイ
common/gyou.wav	ギョウ
common/kata.wav	かた
common/katachi.wav	かたち
g2/e5bda2_zukei.wav	図形（ずけい）	a figure
g2/e5bda2_ningyou.wav	人形（にんぎょう）	a doll
g2/e5bda2_katami.wav	形見（かたみ）	a keepsake, a memento, an article
g2/e5bda2_katachidukuru.wav	形作る（かたちづくる）	form, shape
g2/e5bda2_narifuri.wav	形振り（なりふり）	one's appearance
common/kei.wav	ケイ
common/hakaru.wav	はか・る
g2/e8a888_hakarau.wav	はか・らう
g2/e8a888_taionkei.wav	体温計（たいおんけい）	a clinical thermometer
g2/e8a888_marasonnnotaimuwohakaru.wav	マラソンのタイムを計る（まらそんのたいむをはかる）	
g2/e8a888_iiyounihakarainasai.wav	いいように計らいなさい（いいようにはからいなさい）	
common/gen.wav	ゲン
common/gan.wav	ガン
common/moto.wav	もと
g2/e58583_ogenkidesuka.wav	お元気ですか？（おげんきですか）	How are you?
g2/e58583_genkidashinayo.wav	元気出しなよ（げんきだしなよ）	Keep your chin up!,
g2/e58583_genso.wav	元素（げんそ）	an element, elemental
g2/e58583_jigen.wav	次元（じげん）	a dimension, a level
g2/e58583_ganrai.wav	元来（がんらい）	originally, primarily, essentially
g2/e58583_motonomokuami.wav	元の木阿弥（もとのもくあみ）	to go back to one's start,
common/gen.wav	ゲン
common/gon.wav	ゴン
common/iu.wav	い・う
g2/e8a880_koto.wav	こと
g2/e8a880_sengen.wav	宣言（せんげん）	a declaration, a proclamation
g2/e8a880_dengon.wav	伝言（でんごん）	a message
g2/e8a880_shukujiwoiu.wav	祝辞を言う（しゅくじをいう）	say congratulations,
g2/e8a880_hitorigoto.wav	独り言（ひとりごと）	soliloquy, monologue
common/gen.wav	ゲン
g2/e58e9f_hara.wav	はら
g2/e58e9f_gennin.wav	原因（げんいん）	a cause, the origin, the source
g2/e58e9f_genshi.wav	原子（げんし）	an atom
g2/e58e9f_genkei.wav	原型（げんけい）	a model, a prototype, an archetype,
g2/e58e9f_genkei.wav	原形（げんけい）	the original form
g2/e58e9f_nohara.wav	野原（のはら）	a field, a plain
common/kawara.wav	川原，河原（かわら）	a dry riverbed
common/ko.wav	コ
common/to.wav	と
g2/e688b8_gojukkonomura.wav	５０戸の村（ごじゅっこのむら）	a village of
g2/e688b8_todana.wav	戸棚（とだな）	a cupboard
common/ko.wav	コ
g2/e58fa4_furui.wav	ふる・い
g2/e58fa4_furusu.wav	ふる・す
g2/e58fa4_inishie.wav	*いにしえ
g2/e58fa4_taiko.wav	太古（たいこ）	remote ages, prehistoric days
g2/e58fa4_kofuu.wav	古風（こふう）	old-fashioned, antiquated, antique,
g2/e58fa4_kangaekatagafurui.wav	考え方が古い（かんがえかたがふるい）	
g2/e58fa4_furuhonnya.wav	古本屋（ふるほんや）	a secondhand bookstore
g2/e58fa4_tsukaifurusu.wav	使い古す（つかいふるす）	use until it gets old
g2/e58fa4_inishiekaranodentoubunka.wav	古からの伝統文化（いにしえからのでんとうぶんか）	
common/go.wav	ゴ
g2/e58d88_gozen.wav	午前（ごぜん）	forenoon, a.m., am
g2/e58d88_shougo.wav	正午（しょうご）	noon, midday
g2/e58d88_gogo.wav	午後（ごご）	afternoon, p.m., pm
common/go.wav	ゴ
common/kou.wav	コウ
g2/e5be8c_nochi.wav	のち
g2/e5be8c_ushiro.wav	うし・ろ
common/ato.wav	あと
common/okureru.wav	おく・れる
g2/e5be8c_zengo.wav	前後（ぜんご）	before and behind, before and after,
g2/e5be8c_kouki.wav	後期（こうき）	the latter term, the second semester
g2/e5be8c_kougakunotameni.wav	後学の為に（こうがくのために）	for one's information,
g2/e5be8c_nochinoyo.wav	後の世（のちのよ）	coming ages ☆＝後世（こうせい）
g2/e5be8c_ushironoseki.wav	後ろの席（うしろのせき）	a back seat, a rear seat
g2/e5be8c_atomawashi.wav	後回し（あとまわし）	waiting, postponement
g2/e5be8c_okurewotoru.wav	後れを取る（おくれをとる）	be outstripped,
common/go.wav	ゴ
common/kataru.wav	かた・る
g2/e8aa9e_katarau.wav	かた・らう
g2/e8aa9e_katari.wav	かた・り
g2/e8aa9e_nihongo.wav	日本語（にほんご）	Japanese language
g2/e8aa9e_kakowokataru.wav	過去を語る（かこをかたる）	talk about the old days
g2/e8aa9e_mizuirazudekatarau.wav	水入らずで語らう（みずいらずでかたらう）	
g2/e8aa9e_katarite.wav	語り手（かたりて）	a narrator, a reciter
common/kou.wav	コウ
common/ku.wav	ク
g2/e5b7a5_shoukougyou.wav	商工業（しょうこうぎょう）	commerce and industry
g2/e5b7a5_idenshikougaku.wav	遺伝子工学（いでんしこうがく）	genetic engineering
g2/e5b7a5_jukurenkou.wav	熟練工（じゅくれんこう）	a skilled worker (labor)
g2/e5b7a5_kufuu.wav	工夫（くふう）	a device, a contrivance
common/kou.wav	コウ
g2/e585ac_ooyake.wav	おおやけ
g2/e585ac_kougai.wav	公害（こうがい）	pollution, public nuisance
g2/e585ac_kouyaku.wav	公約（こうやく）	a public commitment
common/kouyou.wav	公用（こうよう）	public use, official business
g2/e585ac_koukaisuru.wav	公開する（こうかいする）	open to the public, unveil,
g2/e585ac_ooyakenisuru.wav	公にする（おおやけにする）	publish, announce
common/kou.wav	コウ
common/hiroi.wav	ひろ・い
common/hiromaru.wav	ひろ・まる
common/hiromeru.wav	ひろ・める
common/hirogaru.wav	ひろ・がる
common/hirogeru.wav	ひろ・げる
g2/e5ba83_koudai.wav	広大（こうだい）	vast, extensive, immense, grand
g2/e5ba83_hiroiheya.wav	広い部屋（ひろいへや）	a large room
g2/e5ba83_kaogahiroi.wav	顔が広い（かおがひろい）	have a lot of friends
g2/e5ba83_kokorogahiroi.wav	心が広い（こころがひろい）	be broad-minded
g2/e5ba83_uwasahasugunihiromarudeshou.wav	噂はすぐに広まるでしょう（うわさはすぐにひろまる
g2/e5ba83_kenbunwohiromeru.wav	見聞を広める（けんぶんをひろめる）	broaden
g2/e5ba83_kajihashihounihirogatta.wav	火事は四方に広がった（かじはしほうにひろがった）	
g2/e5ba83_tsubasawohirogeru.wav	翼を広げる（つばさをひろげる）	spread one's wings
g2/e5ba83_napukinwohirogeru.wav	ナプキンを広げる（なぷきんをひろげる）	
g2/e5ba83_habawohirogeru.wav	幅を広げる（はばをひろげる）	widen, broaden
g2/e5ba83_jigyouwohirogeru.wav	事業を広げる（じぎょうをひろげる）	expand (extend)
common/kou.wav	コウ
g2/e4baa4_majiwaru.wav	まじ・わる
g2/e4baa4_majieru.wav	まじ・える
common/majiru.wav	ま・じる
common/mazaru.wav	ま・ざる
common/mazeru.wav	ま・ぜる
common/kau.wav	か・う
g2/e4baa4_kawasu.wav	か・わす
g2/e4baa4_koukan.wav	交換（こうかん）	exchange, interchange, a swap,
common/kouryuu.wav	交流（こうりゅう）	an alternating current,
g2/e4baa4_michigamajiwaru.wav	道が交わる（みちがまじわる）	the roads cross
g2/e4baa4_kotobawomajieru.wav	言葉を交える（ことばをまじえる）	talk with
g2/e4baa4_shiragamajiri.wav	白髪交じり（しらがまじり）	grizzled
g2/e4baa4_nakamanimazaru.wav	仲間に交ざる（なかまにまざる）	join in the group
g2/e4baa4_nakamanimazeru.wav	仲間に交ぜる（なかまにまぜる）	take into the party
g2/e4baa4_tobikau.wav	飛び交う（とびかう）	fly about, flit
g2/e4baa4_ikenwokawasu.wav	意見を交わす（いけんをかわす）	exchange opinions
common/kou.wav	コウ
g2/e58589_hikaru.wav	ひか・る
g2/e58589_hikari.wav	ひかり
g2/e58589_kousen.wav	光線（こうせん）	a ray, a beam
g2/e58589_gokou.wav	後光（ごこう）	a halo, an aureole
g2/e58589_inadumagahikatta.wav	稲妻が光った（いなづまがひかった）	
g2/e58589_hikarifaiba-.wav	光ファイバー（ひかりふぁいばー）	optical fiber
common/kou.wav	コウ
common/kangaeru.wav	かんが・える
g2/e88083_kangae.wav	かんが・え
g2/e88083_sankoushiryou.wav	参考資料（さんこうしりょう）	reference data,
g2/e88083_shikouryoku.wav	思考力（しこうりょく）	thinking power, thinking faculty
g2/e88083_jikkurikangaeru.wav	じっくり考える（じっくりかんがえる）	think over, ponder,
g2/e88083_naniwokangaeteiruno.wav	何を考えているの？（なにをかんがえているの）	
g2/e88083_kangaenaosu.wav	考え直す（かんがえなおす）	reconsider, rethink,
g2/e88083_kangaerarenai.wav	考えられない（かんがえられない）	unthinkable,
g2/e88083_iikangae.wav	いい考え（いいかんがえ）	a good idea
g2/e88083_kangaemooyobanai.wav	考えも及ばない（かんがえもおよばない）	
common/kou.wav	コウ
common/gyou.wav	ギョウ
common/an.wav	*アン
g2/e8a18c_iku.wav	い・く
common/yuku.wav	ゆ・く
g2/e8a18c_okonau.wav	おこな・う
g2/e8a18c_okonai.wav	おこな・い
common/koudou.wav	行動（こうどう）	behavior, action, an act, conduct,
g2/e8a18c_gyouretsu.wav	行列（ぎょうれつ）	a procession, a parade
g2/e8a18c_angya.wav	行脚（あんぎゃ）	pilgrimage, traveling on foot
g2/e8a18c_gakkouniiku.wav	学校に行く（がっこうにいく）	go to school
g2/e8a18c_ittekimasu.wav	行って来ます（いってきます）	I'm going., I'm off.
g2/e8a18c_itterasshai.wav	行ってらっしゃい（いってらっしゃい）	Have a nice day.,
g2/e8a18c_dokoniikuno.wav	どこに行くの？（どこにいくの）	
g2/e8a18c_dokoniikitai.wav	どこに行きたい？（どこにいきたい）	
g2/e8a18c_douyatteikunodesuka.wav	どうやって行くのですか？（どうやっていくのですか）	
g2/e8a18c_suguniikimasu.wav	すぐに行きます（すぐにいきます）	
g2/e8a18c_yukusue.wav	行く末（ゆくすえ）	the future
g2/e8a18c_okonau.wav	行う（おこなう）	do ☆＝する
g2/e8a18c_okonaiwoaratameru.wav	行いを改める（おこないをあらためる）	reform oneself,
common/kou.wav	コウ
common/taka.wav	たか
common/takai.wav	たか・い
g2/e9ab98_takamaru.wav	たか・まる
g2/e9ab98_takameru.wav	たか・める
g2/e9ab98_koukou.wav	高校（こうこう）	a senior high school
g2/e9ab98_koukousei.wav	高校生（こうこうせい）	a high-school student
g2/e9ab98_koudo.wav	高度（こうど）	an altitude, a height ☆＝高さ（たかさ）
g2/e9ab98_shuukakudaka.wav	収穫高（しゅうかくだか）	the yield
g2/e9ab98_takawokukuru.wav	高をくくる（たかをくくる）	underrate, underestimate,
g2/e9ab98_takagashireteiru.wav	高が知れている（たかがしれている）	
g2/e9ab98_nedangatakai.wav	値段が高い（ねだんがたかい）	be expensive
g2/e9ab98_shikigatakamaru.wav	士気が高まる（しきがたかまる）	morale (fighting
g2/e9ab98_kyouyouwotakameru.wav	教養を高める（きょうようをたかめる）	enrich one's
common/ou.wav	オウ
common/kou.wav	コウ
common/ki.wav	き
common/ko.wav	*こ
g2/e9bb84_oudoiro.wav	黄土色（おうどいろ）	ocher
g2/e9bb84_kousa.wav	黄砂（こうさ）	yellow sands
g2/e9bb84_kibamu.wav	黄ばむ（きばむ）	grow yellowish
g2/e9bb84_koganeiro.wav	黄金色（こがねいろ）	gold color, golden
g2/e9bb84_tasogare.wav	黄昏（たそがれ）	twilight, dusk
common/gou.wav	ゴウ
g2/e59088_galtsu.wav	ガッ
g2/e59088_kaltsu.wav	*カッ
common/au.wav	あ・う
g2/e59088_awasu.wav	あ・わす
common/awaseru.wav	あ・わせる
g2/e59088_ketsugousuru.wav	結合する（けつごうする）	combine, join,
g2/e59088_gasshuku.wav	合宿（がっしゅく）	training camp
g2/e59088_kassen.wav	合戦（かっせん）	a battle
g2/e59088_niau.wav	似合う（にあう）	suit, be suited, match, becoming
g2/e59088_shuuhasuuwoawasu.wav	周波数を合わす（しゅうはすうをあわす）	
g2/e59088_toiawaseru.wav	問い合わせる（といあわせる）	inquire
common/koku.wav	コク
g2/e8b0b7_tani.wav	たに
g2/e8b0b7_keikoku.wav	渓谷（けいこく）	a valley, a ravine, a gorge, a canyon
g2/e8b0b7_tanizoko.wav	谷底（たにぞこ）	the bottom of a ravine
common/koku.wav	コク
common/kuni.wav	くに
g2/e59bbd_kokusaika.wav	国際化（こくさいか）	internationalization
g2/e59bbd_aikokushin.wav	愛国心（あいこくしん）	patriotism, patriotic spirit
g2/e59bbd_shimaguni.wav	島国（しまぐに）	country which is encircled with seas
g2/e59bbd_okunihadochiradesuka.wav	お国はどちらですか？（おくにはどちらですか）	
common/koku.wav	コク
g2/e9bb92_kuro.wav	くろ
common/kuroi.wav	くろ・い
g2/e9bb92_kokuban.wav	黒板（こくばん）	a blackboard, a chalkboard
g2/e9bb92_kuroko.wav	黒子（くろこ）	a stagehand dressed in black
g2/e9bb92_kuromaku.wav	黒幕（くろまく）	a wirepuller, a mastermind
g2/e9bb92_kuroimaku.wav	黒い幕（くろいまく）	a black curtain
g2/e9bb92_haraguroi.wav	腹黒い（はらぐろい）	evil-minded, blackhearted,
g2/e9bb92_hokuro.wav	黒子（ほくろ）	a mole
common/kon.wav	コン
g2/e4bb8a_ima.wav	いま
g2/e4bb8a_konnnichiha.wav	今日は（こんにちは）	Good afternoon, Hello, Hi
g2/e4bb8a_konnnichi.wav	今日（こんにち）	these days, nowadays, now,
g2/e4bb8a_kondo.wav	今度（こんど）	next time, another time
g2/e4bb8a_imagoro.wav	今頃（いまごろ）	about this time, by now
g2/e4bb8a_imaichidane.wav	今一だね（いまいちだね）	It is lacking in something.,
g2/e4bb8a_imanimoshizumisouda.wav	今にも沈みそうだ（いまにもしずみそうだ）	
g2/e4bb8a_kotoshi.wav	今年（ことし）	this year
common/sai.wav	サイ
g2/e6898d_tensai.wav	天才（てんさい）	a genius
g2/e6898d_saishokukenbi.wav	才色兼備（さいしょくけんび）	to have both
common/sai.wav	サイ
g2/e7b4b0_hosoi.wav	ほそ・い
g2/e7b4b0_hosoru.wav	ほそ・る
g2/e7b4b0_komakai.wav	こま・かい
g2/e7b4b0_komaka.wav	こま・か
g2/e7b4b0_saibunka.wav	細分化（さいぶんか）	subdivision
g2/e7b4b0_hosoiwesuto.wav	細いウェスト（ほそいうぇすと）	the slender waist
g2/e7b4b0_shokugahosoru.wav	食が細る（しょくがほそる）	lose one's appetite
g2/e7b4b0_komakaiji.wav	細かい字（こまかいじ）	small characters
g2/e7b4b0_kanenikomakai.wav	金に細かい（かねにこまかい）	be stingy and
g2/e7b4b0_ichimannensatsuwokomakakusuru.wav	一万円札を細かくする（いちまんえんさつをこまかく
g2/e7b4b0_komayakanakikubari.wav	細やかな気配り（こまやかなきくばり）	
g2/e7b4b0_komakasugiru.wav	細かすぎる（こまかすぎる）	be too small, be too exact
g2/e4bd9c_saku.wav	サク
common/sa.wav	サ
common/tsukuru.wav	つく・る
g2/e4bd9c_tsukuri.wav	つく・り
g2/e4bd9c_housaku.wav	豊作（ほうさく）	a good (bountiful) harvest
g2/e4bd9c_sakuseisuru.wav	作成する（さくせいする）	make, draw up, prepare
g2/e4bd9c_sakuhin.wav	作品（さくひん）	a piece of work, a product,
g2/e4bd9c_reigisahou.wav	礼儀作法（れいぎさほう）	etiquette ☆＝エチケット
g2/e4bd9c_obentouwotsukuru.wav	お弁当を作る（おべんとうをつくる）	make a box lunch
g2/e4bd9c_tsukuribanashi.wav	作り話（つくりばなし）	a story, a fiction
common/san.wav	サン
g2/e7ae97_keisan.wav	計算（けいさん）	calculation, computation, reckoning,
g2/e7ae97_tashizan.wav	足し算（たしざん）	addition ☆＝加法（かほう）
g2/e7ae97_hikizan.wav	引き算（ひきざん）	subtraction ☆＝減法（げんぽう）
g2/e7ae97_kakezan.wav	掛け算（かけざん）	multiplication ☆＝乗法（じょうほう）
g2/e7ae97_warizan.wav	割り算（わりざん）	division ☆＝除法（じょほう）
g2/e7ae97_soroban.wav	算盤（そろばん）	a Japanese abacus
common/shi.wav	シ
common/tomaru.wav	と・まる
common/tomeru.wav	と・める
common/yameru.wav	や・める
g2/e6ada2_yamu.wav	や・む
common/todomaru.wav	*とど・まる
common/todomeru.wav	*とど・める
g2/e6ada2_todome.wav	*とど・め
common/kyuushi.wav	休止（きゅうし）	a pause, a rest, a halt
g2/e6ada2_chuushi.wav	中止（ちゅうし）	discontinuance, cessation,
g2/e6ada2_namerakanitomaru.wav	滑らかに止まる（なめらかにとまる）	
g2/e6ada2_ikidomari.wav	行き止まり（いきどまり）	the dead end, blind alley
g2/e6ada2_kurumawotomeru.wav	車を止める（くるまをとめる）	stop (pull up) the car
g2/e6ada2_hanashiwoyameru.wav	話を止める（はなしをやめる）	stop talking
g2/e6ada2_yamenasai.wav	止めなさい！（やめなさい）	Stop it!, Cut it out!
g2/e6ada2_chottoyametemoraeru.wav	ちょっと止めてもらえる？（ちょっとやめてもらえる）	
g2/e6ada2_amegayanda.wav	雨が止んだ（あめがやんだ）	It has stopped raining.
g2/e6ada2_todomarutokorowoshiranai.wav	止まるところを知らない（とどまるところをしらない）	
g2/e6ada2_saishougennnitodomeru.wav	最小限に止める（さいしょうげんにとどめる）	
g2/e6ada2_todomewosasu.wav	止めを刺す（とどめをさす）	put an end to,
common/shi.wav	シ
g2/e5b882_ichi.wav	いち
g2/e5b882_shiyakusho.wav	市役所（しやくしょ）	a city office, a municipal office
g2/e5b882_shijoukakaku.wav	市場価格（しじょうかかく）	a market price (rate)
g2/e5b882_ichiba.wav	市場（いちば）	a shopping center, a market
common/shi.wav	シ
common/ya.wav	や
g2/e79fa2_isshiwomukuiru.wav	一矢を報いる（いっしをむくいる）	retaliate,
g2/e79fa2_yajirushi.wav	矢印（やじるし）	an arrow, a signpost
common/shi.wav	シ
common/ane.wav	あね
g2/e5a789_neesan.wav	*ねえ・さん
g2/e5a789_shimai.wav	姉妹（しまい）	sisters
common/ane.wav	姉（あね）	my elder sister, a big sister
g2/e5a789_aneki.wav	姉貴（あねき）	one's elder sister
g2/e5a789_oneesan.wav	お姉さん（おねえさん）	one's elder sister,
common/shi.wav	シ
common/omou.wav	おも・う
common/omoi.wav	おも・い
g2/e6809d_shisou.wav	思想（しそう）	ideas, thought, an ideology
g2/e6809d_ishihyoujiwosuru.wav	意思表示をする（いしひょうじをする）	
g2/e6809d_watashimosouomou.wav	私もそう思う（わたしもそうおもう）	I also think so.,
g2/e6809d_aa,omoidashita.wav	ああ，思い出した！（ああ，おもいだした）	
g2/e6809d_omottahodomuzukashikunai.wav	思ったほど難しくない（おもったほどむずかしくない）	
g2/e6809d_omoidooriniikanai.wav	思い通りに行かない（おもいどおりにいかない）	
g2/e6809d_omoibito.wav	思い人（おもいびと）	a person in one's mind,
g2/e6809d_omoisugoshi.wav	思い過ごし（おもいすごし）	a unfounded suspicion
g2/e6809d_omoiyarinoaru.wav	思いやりのある（おもいやりのある）	thoughtful,
g2/e6809d_shindoiomoiwosuru.wav	しんどい思いをする（しんどいおもいをする）	
common/shi.wav	シ
common/kami.wav	かみ
g2/e7b499_touannyoushi.wav	答案用紙（とうあんようし）	a blank answer paper
g2/e7b499_hanshi.wav	半紙（はんし）	Hanshi, Japanese paper for calligraphy
g2/e7b499_genshi.wav	原紙（げんし）	a stencil, stencil paper
g2/e7b499_kamihitoe.wav	紙一重（かみひとえ）	slight difference
common/ji.wav	ジ
g2/e5afba_tera.wav	てら
g2/e5afba_jiin.wav	寺院（じいん）	a Buddhist temple
g2/e5afba_amadera.wav	尼寺（あまでら）	a convent, a nunnery
common/ji.wav	ジ
common/shi.wav	シ
g2/e887aa_mizukara.wav	みずか・ら
g2/e887aa_jiyuunoseishin.wav	自由の精神（じゆうのせいしん）	free spirit
g2/e887aa_shizengenshou.wav	自然現象（しぜんげんしょう）	a natural phenomenon
g2/e887aa_mizukarasusunde.wav	自ら進んで（みずからすすんで）	of one's own accord,
g2/e887aa_unubore.wav	自惚れ（うぬぼれ）	conceit, vanity,
g2/e887aa_yake.wav	自棄（やけ）	desperation, despair,
common/ji.wav	ジ
g2/e69982_toki.wav	とき
g2/e69982_shuppatsujikan.wav	出発時間（しゅっぱつじかん）	the departure time,
g2/e69982_nanjidesuka.wav	何時ですか？（なんじですか）	What time is it?
g2/e69982_tokidoki.wav	時々（ときどき）	sometimes, occasionally,
g2/e69982_anotoki.wav	あの時（あのとき）	then, at that time
g2/e69982_tokini.wav	時に（ときに）	now, well ☆＝ところで，それで，さて
g2/e69982_tokei.wav	時計（とけい）	a timepiece, a clock, a watch
g2/e69982_shike.wav	時化（しけ）	a storm, rough seas,
g2/e5aea4_shitsu.wav	シツ
g2/e5aea4_muro.wav	むろ
g2/e5aea4_koshitsu.wav	個室（こしつ）	a single room, a private room
g2/e5aea4_murozakinohana.wav	室咲きの花（むろざきのはな）	hothouse flowers
common/sha.wav	シャ
g2/e7a4be_yashiro.wav	やしろ
g2/e7a4be_kaishain.wav	会社員（かいしゃいん）	an office worker,
g2/e7a4be_yashiro.wav	社（やしろ）	a shrine
common/jaku.wav	ジャク
g2/e5bcb1_yowai.wav	よわ・い
g2/e5bcb1_yowaru.wav	よわ・る
g2/e5bcb1_yowamaru.wav	よわ・まる
g2/e5bcb1_yowameru.wav	よわ・める
g2/e5bcb1_jakuten.wav	弱点（じゃくてん）	a weak point, a weakness
g2/e5bcb1_kyojakutaishitsu.wav	虚弱体質（きょじゃくたいしつ）	a weak constitution,
g2/e5bcb1_ishigayowai.wav	意志が弱い（いしがよわい）	be not strong-willed,
g2/e5bcb1_suugakuniyowai.wav	数学に弱い（すうがくによわい）	be weak in math,
g2/e5bcb1_samusaniyowai.wav	寒さに弱い（さむさによわい）	be sensitive to cold
g2/e5bcb1_atamagayowai.wav	頭が弱い（あたまがよわい）	be feeble-minded
g2/e5bcb1_onnnaniyowai.wav	女に弱い（おんなによわい）	have a weakness
g2/e5bcb1_karadagayowaru.wav	体が弱る（からだがよわる）	be enfeebled,
g2/e5bcb1_yowattana.wav	弱ったな（よわったな）	That's bad., This is serious.,
g2/e5bcb1_kazegayowamaru.wav	風が弱まる（かぜがよわまる）	the wind abate
g2/e5bcb1_onryouwoyowameru.wav	音量を弱める（おんりょうをよわめる）	turn down
common/shu.wav	シュ
common/kubi.wav	くび
g2/e9a696_shusekidesotsugyousuru.wav	首席で卒業する（しゅせきでそつぎょうする）	
g2/e9a696_jishusuru.wav	自首する（じしゅする）	surrender oneself (to the police)
g2/e9a696_kubiwa.wav	首輪（くびわ）	a collar
g2/e9a696_kubininaru.wav	首になる（くびになる）	be fired (from a job),
common/shuu.wav	シュウ
g2/e7a78b_aki.wav	あき
g2/e7a78b_shuubunnnohi.wav	秋分の日（しゅうぶんのひ）	Autumnal Equinox Day
g2/e7a78b_akikaze.wav	秋風（あきかぜ）	an autumn breeze
common/shuu.wav	シュウ
g2/e980b1_konshuu.wav	今週（こんしゅう）	this week
g2/e980b1_raishuu.wav	来週（らいしゅう）	next week
g2/e980b1_senshuu.wav	先週（せんしゅう）	last week
g2/e980b1_isshuukan.wav	一週間（いっしゅうかん）	for a week
common/shun.wav	シュン
g2/e698a5_haru.wav	はる
g2/e698a5_shunbunnnohi.wav	春分の日（しゅんぶんのひ）	Vernal Equinox Day
g2/e698a5_shishunki.wav	思春期（ししゅんき）	puberty, adolescence
g2/e698a5_haruichiban.wav	春一番（はるいちばん）	the first storm in spring
common/sho.wav	ショ
common/kaku.wav	か・く
g2/e69bb8_kyoukasho.wav	教科書（きょうかしょ）	a textbook, a schoolbook
g2/e69bb8_shodou.wav	書道（しょどう）	Shodo, calligraphy
g2/e69bb8_tegamiwokaku.wav	手紙を書く（てがみをかく）	write a letter
common/shou.wav	ショウ
g2/e5b091_sukunai.wav	すく・ない
common/sukoshi.wav	すこ・し
g2/e5b091_shounen.wav	少年（しょうねん）	a boy ☆＝男の子（おとこのこ）
g2/e5b091_shoujo.wav	少女（しょうじょ）	a little girl ☆＝女の子（おんなのこ）
g2/e5b091_yukigafurukotohasukunai.wav	雪が降ることは少ない（ゆきがふることはすくない）	
g2/e5b091_kotobakazugasukunai.wav	言葉数が少ない（ことばかずがすくない）	be reticent,
g2/e5b091_karori-gasukunai.wav	カロリーが少ない（かろりーがすくない）	
g2/e5b091_sukunakutomo.wav	少なくとも（すくなくとも）	at least, to say the least
g2/e5b091_sukunakarazu.wav	少なからず（すくなからず）	not a little, quite a few,
g2/e5b091_sukoshizutsu.wav	少しずつ（すこしずつ）	little by little, bit by bit,
